x;y;species;natural;denotation;age;family;genus;leaf_type;health;object:city;relation:site
-75,57667237;6,26596762;Ficus sp.;Tree;university;mature;Moraceae;Ficus; ; ;Medellin;Volador
-75,57670018;6,266058;Triplaris americana;Tree;university;mature;Polygonaceae;Triplaris; ; ;Medellin;Volador
-75,57665662;6,26606796;Terminalia sp.;Tree;university;mature;Combretaceae;Terminalia; ; ;Medellin;Volador
-75,57682178;6,26633306;Dilodendron costaricense;Tree;university;mature;Sapindaceae;Dilodendron; ; ;Medellin;Volador
-75,57685576;6,2663507;Fabaceae;Tree;university;new planting;Fabaceae; ; ; ;Medellin;Volador
-75,57660431;6,26634319;Gustavia sp.;Tree;university;mature;Lecythidaceae;Gustavia; ; ;Medellin;Volador
-75,57677972;6,26625045;Pouteria sp.;Tree;university;mature;Sapotaceae;Pouteria; ; ;Medellin;Volador
-75,57664575;6,26625698;Caesalpinia ebano;Tree;university;mature;Fabaceae;Caesalpinia; ; ;Medellin;Volador
-75,57629743;6,26606864;Bauhinia picta;Tree;university;mature;Fabaceae;Bauhinia; ; ;Medellin;Volador
-75,57636886;6,26614011;Bignoniaceae;Tree;university;mature;Bignoniaceae; ; ; ;Medellin;Volador
-75,57652973;6,26591547;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57656218;6,26574529;Anacardium excelsum;Tree;university;mature;Anacardiaceae;Anacardium; ; ;Medellin;Volador
-75,57662673;6,26609787;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57633204;6,2660453;Melastomataceae;Tree;university;mature;Melastomataceae; ; ; ;Medellin;Volador
-75,57682273;6,26640049;Ceiba speciosa;Tree;university;mature;Malvaceae;Ceiba; ; ;Medellin;Volador
-75,57677184;6,26637123;Ceiba pentandra;Tree;university;mature;Malvaceae;Ceiba; ; ;Medellin;Volador
-75,57681306;6,26644648;Caesalpinia ebano;Tree;university;mature;Fabaceae;Caesalpinia; ; ;Medellin;Volador
-75,57689777;6,26632564;Byrsonima sp.;Tree;university;mature;Malpighiaceae;Byrsonima; ; ;Medellin;Volador
-75,57683864;6,26633795;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,5767358;6,26651604;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57663528;6,2664949;Melicoccus bijugatus;Tree;university;mature;Sapindaceae;Melicoccus; ; ;Medellin;Volador
-75,57668702;6,26655518;Gustavia sp.;Tree;university;mature;Lecythidaceae;Gustavia; ; ;Medellin;Volador
-75,57669161;6,26643444;Albizia guachapele;Tree;university;mature;Fabaceae;Albizia; ; ;Medellin;Volador
-75,57667105;6,26647087;Parkia pendula;Tree;university;mature;Fabaceae;Parkia; ; ;Medellin;Volador
-75,57670326;6,26638734;Myrtaceae;Tree;university;mature;Myrtaceae; ; ; ;Medellin;Volador
-75,57652108;6,26584667;Handroanthus sp.;Tree;university;young;Bignoniaceae;Handroanthus; ; ;Medellin;Volador
-75,57679465;6,26601211;Erythrina fusca;Tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57647807;6,26609308;Grewioideae sp.;Tree;university;mature;Malvaceae;Grewioideae; ; ;Medellin;Volador
-75,57655988;6,2663746;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57675447;6,26643748;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57677081;6,26647377;Pentaclethra macroloba;Tree;university;young;Fabaceae;Pentaclethra; ; ;Medellin;Volador
-75,57673425;6,26647233;Parkia pendula;Tree;university;mature;Fabaceae;Parkia; ; ;Medellin;Volador
-75,57675781;6,26657884;Gustavia sp.;Tree;university;mature;Lecythidaceae;Gustavia; ; ;Medellin;Volador
-75,57668973;6,26658732;Acoelorraphe wrightii;Tree;university;mature;Arecaceae;Acoelorraphe;palm; ;Medellin;Volador
-75,57672174;6,26651055;Dilodendron costaricense;Tree;university;mature;Sapindaceae;Dilodendron; ; ;Medellin;Volador
-75,57666313;6,26644969;Dilodendron costaricense;Tree;university;mature;Sapindaceae;Dilodendron; ; ;Medellin;Volador
-75,57662775;6,26651256;Rubiaceae;Tree;university;mature;Rubiaceae; ; ; ;Medellin;Volador
-75,57667526;6,26655978;Lauraceae;Tree;university;mature;Lauraceae; ; ; ;Medellin;Volador
-75,57657167;6,26654467;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57657679;6,2665127;Ficus sp.;Tree;university;mature;Moraceae;Ficus; ; ;Medellin;Volador
-75,57653891;6,26652051;Meliaceae;Tree;university;mature;Meliaceae; ; ; ;Medellin;Volador
-75,57669075;6,26636064;Phyllanthaceae;Tree;university;mature;Phyllanthaceae; ; ; ;Medellin;Volador
-75,57670887;6,26632607;Bauhinia sp.;Tree;university;mature;Fabaceae;Bauhinia; ; ;Medellin;Volador
-75,57675486;6,26632056;Leucaena leucocephala;Tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57652056;6,26649864;Apocynaceae;Tree;university;mature;Apocynaceae; ; ; ;Medellin;Volador
-75,5765934;6,26648314;Inga sp.;Tree;university;mature;Fabaceae;Inga; ; ;Medellin;Volador
-75,57662097;6,26644419;Gustavia sp.;Tree;university;mature;Lecythidaceae;Gustavia; ; ;Medellin;Volador
-75,57664107;6,26640414;Moraceae;Tree;university;mature;Moraceae; ; ; ;Medellin;Volador
-75,57647147;6,26639305;Gustavia superba;Tree;university;mature;Lecythidaceae;Gustavia; ; ;Medellin;Volador
-75,57665912;6,2663491;Clusia;Tree;university;mature;Clusiaceae;Clusia; ; ;Medellin;Volador
-75,5766762;6,26630929;Meliaceae;Tree;university;mature;Meliaceae; ; ; ;Medellin;Volador
-75,57666073;6,26641708;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57669271;6,26627597;Guazuma ulmifolia;Tree;university;mature;Malvaceae;Guazuma; ; ;Medellin;Volador
-75,57667109;6,2662772;Gustavia sp.;Tree;university;mature;Lecythidaceae;Gustavia; ; ;Medellin;Volador
-75,57666311;6,26625491;Fabaceae;Tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
